manufacturers_id,manufacturers_name,manufacturers_image,date_added,last_modified
1,5.11 Tactical,,00/00/0000 00:00:00,00/00/0000 00:00:00
2,A&K,,00/00/0000 00:00:00,00/00/0000 00:00:00
3,Ace Case,,00/00/0000 00:00:00,00/00/0000 00:00:00
4,Aftermath,,00/00/0000 00:00:00,00/00/0000 00:00:00
5,AGM,,00/00/0000 00:00:00,00/00/0000 00:00:00
6,AIM Sports,,00/00/0000 00:00:00,00/00/0000 00:00:00
7,Air Venturi,,00/00/0000 00:00:00,00/00/0000 00:00:00
8,AireTex,,00/00/0000 00:00:00,00/00/0000 00:00:00
9,AirForce,,00/00/0000 00:00:00,00/00/0000 00:00:00
10,Airgun Hobbyist,,00/00/0000 00:00:00,00/00/0000 00:00:00
11,AMP Tactical,,00/00/0000 00:00:00,00/00/0000 00:00:00
12,Anschutz,,00/00/0000 00:00:00,00/00/0000 00:00:00
13,ASG,,00/00/0000 00:00:00,00/00/0000 00:00:00
14,Avanti,,00/00/0000 00:00:00,00/00/0000 00:00:00
15,B-Square,,00/00/0000 00:00:00,00/00/0000 00:00:00
16,Beeman,,00/00/0000 00:00:00,00/00/0000 00:00:00
17,Benjamin,,00/00/0000 00:00:00,00/00/0000 00:00:00
18,Beretta,,00/00/0000 00:00:00,00/00/0000 00:00:00
19,Bering Optics,,00/00/0000 00:00:00,00/00/0000 00:00:00
20,Bioval Technologies,,00/00/0000 00:00:00,00/00/0000 00:00:00
21,Birchwood Casey,,00/00/0000 00:00:00,00/00/0000 00:00:00
22,BKL,,00/00/0000 00:00:00,00/00/0000 00:00:00
23,Blackwater,,00/00/0000 00:00:00,00/00/0000 00:00:00
24,Blue Book,,00/00/0000 00:00:00,00/00/0000 00:00:00
25,Bravo,,00/00/0000 00:00:00,00/00/0000 00:00:00
26,Brownells,,00/00/0000 00:00:00,00/00/0000 00:00:00
27,Browning,,00/00/0000 00:00:00,00/00/0000 00:00:00
28,Bruni,,00/00/0000 00:00:00,00/00/0000 00:00:00
29,BSA,,00/00/0000 00:00:00,00/00/0000 00:00:00
30,Bulldog,,00/00/0000 00:00:00,00/00/0000 00:00:00
31,Bushmaster Airsoft,,00/00/0000 00:00:00,00/00/0000 00:00:00
32,Bushnell,,00/00/0000 00:00:00,00/00/0000 00:00:00
33,Butler Creek,,00/00/0000 00:00:00,00/00/0000 00:00:00
34,Camo-It,,00/00/0000 00:00:00,00/00/0000 00:00:00
35,Caspian,,00/00/0000 00:00:00,00/00/0000 00:00:00
36,CenterPoint,,00/00/0000 00:00:00,00/00/0000 00:00:00
37,Centra,,00/00/0000 00:00:00,00/00/0000 00:00:00
38,Champion,,00/00/0000 00:00:00,00/00/0000 00:00:00
39,Champion Shooters Supply,,00/00/0000 00:00:00,00/00/0000 00:00:00
40,Classic Army,,00/00/0000 00:00:00,00/00/0000 00:00:00
41,Colt,,00/00/0000 00:00:00,00/00/0000 00:00:00
