`manufacturers_id`;`manufacturers_name`;`manufacturers_image`;`date_added`;`last_modified`
`1`;`5.11 Tactical`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`2`;`A&K`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`3`;`Ace Case`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`4`;`Aftermath`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`5`;`AGM`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`6`;`AIM Sports`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`7`;`Air Venturi`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`8`;`AireTex`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`9`;`AirForce`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`10`;`Airgun Hobbyist`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`11`;`AMP Tactical`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`12`;`Anschutz`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`13`;`ASG`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`14`;`Avanti`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`15`;`B-Square`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`16`;`Beeman`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`17`;`Benjamin`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`18`;`Beretta`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`19`;`Bering Optics`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`20`;`Bioval Technologies`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`21`;`Birchwood Casey`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`22`;`BKL`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`23`;`Blackwater`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`24`;`Blue Book`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`25`;`Bravo`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`26`;`Brownells`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`27`;`Browning`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`28`;`Bruni`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`29`;`BSA`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`30`;`Bulldog`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`31`;`Bushmaster Airsoft`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`32`;`Bushnell`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
